City,County,Zip Code,Inv. Location
      Allamuchy,Warren,07820,RT Clifton
      Branchburg,Somerset,08876,RT North Brunswick
      Frelinghuysen,Warren,07821,RT Clifton
      Hackettstown,Warren,07840,RT Clifton
      Harmony,Warren,08865,RT Clifton
      Hillsborough,Somerset,08844,RT North Brunswick
      Hope,Warren,07844,RT Clifton
      Knowlton,Warren,07832,RT Clifton
      Liberty,Warren,07838,RT Clifton
      Mansfield,Warren,07865,RT Clifton
      Plainsboro,Middlesex,08536,RT North Brunswick
      Pohatcong,Warren,08865,RT Clifton
      Washington,Warren,07882,RT Clifton
      West Windsor,Mercer,08550,RT North Brunswick
      White,Warren,07823,RT Clifton
     Alpha,Warren,08665,RT Clifton
     Belvidere,Warren,07823,RT Clifton
     Blairstown,Warren,07825,RT Clifton
     Greenwich,Warren,08886,RT Clifton
     Hardwick,Warren,07825,RT Clifton
     Independence,Warren,07840,RT Clifton
     Lawrence,Mercer,08648,RT North Brunswick
     Lopatcong,Warren,08865,RT Clifton
     Oxford,Warren,07863,RT Clifton
     Phillipsburg,Warren,08865,RT Clifton
Aberdeen,Monmouth,07747,RT North Brunswick
ABINGTON,Montgomery,19001,RT Cherry Hill
ABINGTON,Montgomery,19001,RT Cherry Hill
Absecon,Atlantic,08201,RT Cherry Hill
Absecon,Atlantic,08205,RT Cherry Hill
Adelphia,Monmouth,07710,RT North Brunswick
Aldan,Delaware,19018,RT Cherry Hill
Aldan,Delaware,19018,RT Cherry Hill
Alexandria,Hunterdon,08822,RT North Brunswick
Allamuchy,Warren,07820,RT Clifton
Allendale,Bergen,07401,RT Clifton
Allenhurst,Monmouth,07711,RT North Brunswick
Allentown,Monmouth,08501,RT North Brunswick
allenwood,Monmouth,08720,RT North Brunswick
Alloway,Salem,08001,RT Cherry Hill
Alpha,Warren,08665,RT Clifton
Alpine,Bergen,07602,RT Clifton
AMBLER,Montgomery,19002,RT Cherry Hill
AMBLER,Montgomery,19002,RT Cherry Hill
Andalusia,Bucks,19020,RT Cherry Hill
Andover,Sussex,07821,RT Clifton
Annandale,Hunterdon,08801,RT North Brunswick
ARDMORE,Montgomery,19003,RT Cherry Hill
ARDMORE,Montgomery,19003,RT Cherry Hill
Asbury,Hunterdon,08802,RT North Brunswick
Asbury Park,Monmouth,07712,RT North Brunswick
Aston,Delaware,19014,RT Cherry Hill
Aston,Delaware,19014,RT Cherry Hill
Atco,Camden,08004,RT Cherry Hill
Atglen,Chester,19310,RT Cherry Hill
Atglen,Chester,19310,RT Cherry Hill
Atlantic City,Atlantic,08401,RT Cherry Hill
Atlantic City,Atlantic,08404,RT Cherry Hill
Atlantic City,Atlantic,08405,RT Cherry Hill
Atlantic Highlands,Monmouth,07716,RT North Brunswick
Audubon,Camden,08106,RT Cherry Hill
AUDUBON,Montgomery,19407,RT Cherry Hill
AUDUBON,Montgomery,19407,RT Cherry Hill
Audubon Park,Camden,08004,RT Cherry Hill
Augusta,Sussex,07822,RT Clifton
Avalon,Cape May,08202,RT Cherry Hill
Avenel,Middlesex,07001,RT North Brunswick
Avon By The Sea,Monmouth,07717,RT North Brunswick
Avondale,Chester,19311,RT Cherry Hill
Avondale,Chester,19311,RT Cherry Hill
BALA CYNWYD,Montgomery,19004,RT Cherry Hill
BALA CYNWYD,Montgomery,19004,RT Cherry Hill
Baptistown,Hunterdon,08803,RT North Brunswick
Barnegat,Ocean,08005,RT Cherry Hill
Barnegat Light,Ocean,08006,RT Cherry Hill
Barrington,Camden,08007,RT Cherry Hill
Basking Ridge,Somerset,07920,RT North Brunswick
Bass River,Burlington,08227,RT Cherry Hill
Bay Head,Ocean,08742,RT Cherry Hill
Bayonne,Hudson,07002,RT North Brunswick
Bayville,Ocean,08721,RT Cherry Hill
Beach Haven,Ocean,08008,RT Cherry Hill
Beachwood,Ocean,08722,RT Cherry Hill
Bedminster,Bucks,18910,RT Cherry Hill
Bedminster,Somerset,07921,RT North Brunswick
Bedminster,Somerset,07921,RT North Brunswick
Belford,Monmouth,07718,RT North Brunswick
Belle Mead,Somerset,08502,RT North Brunswick
Belleville,Essex,07109,RT Clifton
Bellmawr,Camden,08031,RT Cherry Hill
Bellmawr,Camden,08099,RT Cherry Hill
Belmar,Monmouth,07715,RT North Brunswick
Belmar,Monmouth,07719,RT North Brunswick
